IID,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96,ROI_97,ROI_98,ROI_99,ROI_100,ROI_101,ROI_102,ROI_103,ROI_104,ROI_105,ROI_106,ROI_107,ROI_108,ROI_109,ROI_110,ROI_111,ROI_112,ROI_113,ROI_114,ROI_115
100206,1.9980701,0.5300868,0.0097373845,0.35003337,0.79256785,0.8246926,0.18465333,0.5004271,0.2876501,0.10639439,2.9007988,0.038451433,0.84231913,0.39599755,0.39179435,0.042276025,1.9849224,0.05095803,0.5666746,0.4074702,0.42025515,0.123946235,0.2092495,0.59385884,0.048026085,0.44982907,0.09381672,2.8846736,0.4414644,0.011959954,0.240893,0.10165288,0.44174865,0.27240345,2.9169054,0.8656453,0.856532,0.12925737,2.138899,0.08669281,1.0197549,0.05073008,1.1060034,0.021383146,0.6507801,0.11351932,0.32223332,0.02778661,0.09918537,0.04692407,0.7982307,0.013616151,0.72518283,0.68207026,1.0419031,0.4255457,0.87986773,0.0670138,0.12915415,0.13532765,0.04934898,0.08510042,1.532094,0.50160295,1.8953161,0.42646542,0.0641727,0.20546657,0.15228583,0.5059603,0.27374116,0.50653124,0.018393043,0.18366936,0.7362058,2.074363,0.4352911,1.5449733,0.020898638,0.18788971,2.378987,1.356111,0.23966923,0.08038199,2.0324776,0.2198014,0.5838514,1.605304,0.31562272,0.6552036,0.12351113,0.008897351,0.06286868,0.0092004575,0.91044194,0.4223141,0.5876107,3.7974045,0.07849488,1.5732688,0.06785353,0.03926486,0.23308736,0.010401328,0.0791581,0.96620965,2.0031774,4.1260076,0.6525084,2.4438496,1.5822179,0.0008434225,0.018162569,0.0016465544,0.035302617,0.5221141
100307,1.6385418,0.4669315,0.077501185,0.20450296,0.33995858,1.5916749,0.18968709,0.00025690495,2.3469622,2.6495986,0.3204202,0.07688643,0.08262292,0.03241084,0.22797607,1.179723,2.6973079e-05,1.2887586,1.8182127,1.1010802,0.30689007,1.2319357,0.009442136,0.0025124592,0.92421895,3.152371,1.4911728,0.5765663,0.012917864,0.61620754,0.003932864,0.0031755366,1.7602277,0.8436313,0.00032629006,0.09661517,0.7718103,0.78059477,1.7699555,0.050417274,1.066435,0.27035323,0.396726,0.009399024,1.3116155,0.30560985,0.15511297,0.28511664,0.19252601,0.07225303,0.008222096,0.114671096,0.005902496,0.21585332,0.5279168,0.6002461,2.8955905,1.233252,1.8299947,0.64790267,0.500851,0.006967505,1.5585781,0.011933308,0.72235554,0.024167974,0.45602775,0.014822282,1.2714139,2.4199872,0.7267003,2.7889636,2.6795516,0.52335757,1.9884394,2.712842,5.520587,0.5385183,0.3114714,2.9654396,0.037850507,2.823834,0.073227406,0.4705964,0.23481874,0.033134714,0.0056854556,0.8953912,0.0063210255,0.16670614,0.6554813,0.022119118,0.22214852,0.55054486,0.81372476,0.6891766,0.02183331,0.9792522,0.31145483,0.17352305,0.74288094,1.3893027,0.00042999073,0.43459716,0.016011393,0.043893628,2.0800958,0.4474695,0.09848163,0.003773902,0.044337343,0.034055155,0.0034832035,0.08748678,0.13340421,0.015454588
100408,2.546068,2.2202578,1.0432419,4.108639,0.0007769437,2.775205,0.622968,5.3051167,0.001850618,0.0034109147,2.2002091,0.119300775,2.018918,1.0350586,2.2357078,0.1632781,1.6103735,1.5359088,3.363764,5.1451097,0.000489268,0.044079892,1.3211223,5.344302,0.37133643,0.41338402,1.5371448,4.6815014,0.7335988,0.41926184,0.40215623,0.78276235,0.019500654,0.32262212,0.8087705,2.1833289,0.2659426,0.0053291153,4.7314897,2.4821334,9.827828,0.48355794,0.40528902,1.8429282,5.2509694,2.8620844,0.097664446,0.003983577,1.1652291,0.09032338,0.19929205,0.048747934,1.3939631,1.455079,3.9040024,0.30741492,3.4333935,1.3922967,0.6409111,1.1842533,0.08358158,0.023051739,1.4172353,0.19728355,0.0838739,0.25738874,0.5532436,3.0832775,0.22069108,1.5267804,0.520492,3.817884,2.35336,2.9104326,1.3810874,6.485206,0.11634907,2.3354313,0.48083097,0.35927862,0.48059514,0.76906234,0.5444273,1.2002906,0.91600716,0.01780445,0.022455204,4.1819706,3.104922,0.0072806715,0.47802696,0.26273072,0.1558055,0.15044735,0.08107383,0.25450718,0.7258583,3.397545,0.03885073,1.0222045,1.896608,0.03487723,2.2877624,0.0035342637,0.042238828,0.26964754,0.3767393,6.2475937e-07,0.30451608,2.3090618,2.1045175,0.02219185,1.1586676,0.3200823,0.03702633,0.9328684
100610,3.7167702,5.4883404,5.687563,4.8469696,0.119778916,6.660679,1.0011734,1.2206683,0.49952492,0.43230715,2.743672,4.9820065,0.59545517,0.51764226,0.23883238,1.4855559,0.76648796,2.5020342,7.414389,7.1382995,3.3444326,3.8303034,6.2857842,17.120949,0.16866858,0.020159148,2.695945,3.5897446,0.06268724,1.5354716,2.5240653,2.736888,2.524674,1.6840128,0.47438383,3.112341,0.0046755387,0.5330754,1.1340283,1.4736351,0.0009147496,2.5544074,6.2330933,0.81371725,1.2649679,2.2755547,2.6445727,1.4590933,1.3725898,0.4664125,6.5319624,0.8573793,10.778317,10.378928,1.6453007,0.27579466,5.2096105,4.405867,0.79653996,2.2765272,0.6781193,0.0009936012,14.8855715,2.7629333,9.997257,0.001977545,0.3147626,2.6068287,12.575423,8.1823435,5.794819,0.30653006,0.19256927,0.19992894,0.044838835,0.88216096,3.7205632,5.032538,0.23117326,1.0912843,4.332055,1.2390965,1.0965319,5.229854,4.765247,0.0061499556,0.008426354,9.163242,1.0386493,0.0002579043,0.66786194,0.999425,1.4997739,0.03876247,0.07779244,1.0045444,0.36232814,8.014703,3.0497465,0.008997102,4.2321677,0.76428103,0.92708457,0.041287083,0.12278106,0.8496331,3.302012,9.168385,5.024843,4.419686,7.0465794,0.7402685,7.043157,1.174765,3.7425144,0.32879892
101006,0.20573992,0.08329858,0.30348986,0.0009517405,0.8840012,0.14273565,0.16098176,0.018328624,0.82963544,0.021110537,0.008435095,0.059692718,0.102191016,1.1687784,0.2958142,1.0537446,0.14653088,2.578433,0.023464186,0.0068931472,2.000543,1.1230366,0.35000035,0.08620451,0.93736154,2.1112413,2.2471194,1.2864501,0.0289012,2.633611,0.5664665,0.3791212,0.33109537,0.7150745,0.81299543,0.64071864,0.120350294,0.017741777,0.090079844,0.12814355,0.007022043,0.14346953,0.37409055,0.17258531,0.5713525,0.12125313,0.13295346,0.054162685,1.0765928,0.03100688,0.09622288,1.595928,0.6688989,0.064340204,0.4433627,0.20200725,0.008354183,0.061149314,1.0572858,0.84007907,0.19562538,0.50874186,0.089661114,0.0152356345,0.82516617,0.0025995167,0.08327463,0.08811123,0.013769312,0.1766534,0.00018271634,0.19425268,0.6519319,7.57375,0.1006132,0.1892262,0.14286223,0.29216716,0.0005383426,1.1259816,0.046322715,0.010126583,0.0012793255,0.02099033,0.61741567,0.027746411,0.21171422,0.008703119,0.13792674,0.10344131,0.1226415,0.004142842,0.22242281,1.4320241,0.13534996,0.06894455,0.04066968,0.013849693,0.025684655,0.12780017,2.4383814,0.50642335,0.6263258,1.6694434,0.21176589,0.64343184,0.123674154,0.21132755,0.078219146,0.123583846,0.0090366285,1.0567386,2.0384846,0.07615134,0.16354384,0.23669608
101107,0.31900242,1.2825086,0.0033358217,0.0003944598,7.037108,0.77985513,0.0002557579,0.057481278,4.6964545,0.00689925,0.022686712,0.5676797,0.08318638,0.16568632,0.068843514,0.91650057,0.097778685,0.28759104,1.6155313,1.515573,0.113223575,0.016065637,0.10119762,0.52524,4.575222,2.8262773,3.0699275,5.486292,0.022654552,1.3644339,0.2047807,0.49817592,0.3180858,4.16074,0.00046855418,0.14356184,0.015857268,0.3966932,0.0052212523,0.034779742,0.31555924,0.31764793,0.00058175443,0.12889685,0.067444675,0.19058874,0.26705813,0.04638828,0.027004085,0.059488796,0.056764476,0.17576838,0.04345529,0.5046745,0.0027825914,0.34520012,0.05043371,0.9571588,0.08082983,0.000119028846,0.10281897,0.014312009,0.40263385,0.02031429,0.38376057,0.017817352,0.04218115,0.0029215151,0.7821521,1.1403581,0.021418845,0.091053136,0.010310844,0.1478399,0.037411477,0.06361915,0.1775024,0.30090797,0.051923964,0.53394,0.03134029,0.06333368,0.000430021,0.24951267,0.2597442,1.5175552,8.016313,6.3876796,0.25745225,2.4257731,0.036804814,0.0010616072,0.014420193,0.0042056004,0.037944395,0.009860814,0.108975254,0.001832044,0.27783474,0.0932683,0.022835825,0.08198776,0.016045712,0.20931321,0.1975922,0.27699867,0.2754619,0.094410926,0.0067119556,0.15444511,0.015482706,0.6117244,0.29031432,0.0002712251,0.23286851,0.06009492
101309,8.858298,1.8586056,12.163667,2.1561215,0.04390297,0.49315533,4.257603,1.655119,9.236091,1.4483389,35.574924,6.7120523,0.15499589,1.0797601,0.6788641,15.305637,3.8310897,29.094347,5.206571,0.51806104,6.6485085,0.17509496,0.55352974,7.8377714,3.2751284,0.0007237668,4.2693715,2.6215253,0.3480051,46.17036,3.3265316,2.0922055,1.930714,34.799698,5.1734734,0.7857515,12.864168,16.16816,0.15667425,0.07607721,3.0350711,0.081855714,3.061242,8.756243,0.8306877,21.81116,24.105892,9.942934,8.005762,0.79811084,0.836545,2.7024386,0.23271309,7.197883,38.377857,0.2966297,22.736572,0.4739375,7.5623126,3.0561793,6.4183927,7.7584605,15.472153,0.714291,10.949775,0.7028324,44.87635,19.296213,0.7832827,39.73111,15.744993,23.409582,4.5746517,163.5791,19.965027,69.36383,7.343135,59.890644,1.2119702,44.45622,46.118015,1.0614337,1.8403779,7.121401,12.351638,5.080518,1.05767,3.4080029,60.25239,15.832608,0.66722214,1.8205781,13.835367,0.10516409,5.297862,6.9050922,12.31041,31.26759,44.015224,4.3430824,2.6721141,4.5447,13.133744,6.627648,2.805725,0.011151206,10.06539,0.22947317,33.70865,27.738342,10.77787,6.311879,8.450035,13.689092,12.895872,5.9635105
101410,0.9242983,1.9764767,0.08466005,1.0892798,1.7609569,3.141709,0.20350707,2.462555,1.8633243,0.013361539,0.018725349,0.109155096,0.9959743,2.5480587,0.19928484,0.81632954,0.17525586,0.04275705,0.6665135,2.7413652,0.00014593717,0.025676053,1.4328867,0.11966772,3.4456728,0.79714245,1.588233,2.379599,0.2731692,0.050207518,0.41790906,0.56822866,0.069179215,1.2344393,0.2105497,0.0072460575,0.43931982,0.017951565,1.6131325,0.10135567,1.5034509,0.64926016,0.006972384,5.3185035e-05,1.0181521,0.7083314,0.41976675,0.13327533,0.29537937,0.4673722,0.25121227,0.3711261,0.8254781,0.6981415,0.0026676967,0.005620014,0.37902498,1.3127052,0.04596209,0.52766025,0.27505437,0.6110965,0.3755353,0.096789055,0.728288,0.8044918,0.45357463,0.0909207,0.21179432,0.79752845,0.08457056,0.5887967,1.6932168,3.1396189,0.83746547,4.7650614,0.22391601,0.015946506,1.3885905,0.05247225,0.06902558,0.9819715,0.33960134,2.2447426,0.24845934,4.2260175,0.47882015,2.4628582,0.0036308507,1.2148066,0.18767151,0.11241788,0.5388767,0.39942455,0.51364875,0.7496262,0.0791615,0.51602644,0.16680934,0.2987066,0.011482519,1.0417187,2.9715676,1.1471928,0.0025855259,0.8789415,0.26717767,0.60292965,0.038871597,1.3614312,0.0040415684,0.5595067,0.6843927,0.35715902,0.025888463,0.00081883004
101915,0.63203716,0.65496534,0.87702256,0.0076455763,0.19631682,1.4810841,0.777297,0.18159571,1.4014244,0.4917657,0.72443396,0.030909892,2.02289,0.85761243,0.100223765,2.7418935,0.11555504,1.2317346,0.22433284,0.092661336,2.1851823,0.165095,0.10898541,0.4737162,0.8728428,3.0476146,1.7226081,1.859445,1.7131284,2.293197,2.344642,2.7281091,4.116079,0.01437783,0.106949985,1.2344896,3.828805,0.5147828,7.017765,1.5476278,3.586479,0.7259739,0.46685714,0.24637787,1.3588489,1.0688038,2.006377,0.4792355,0.3674368,0.3325641,0.13110653,0.8928204,1.249746,0.26131156,0.18956839,0.14299688,0.064453006,1.1362543,0.5393504,0.27508175,0.096539415,0.097283535,1.0899891,1.0753558,0.67209804,2.5149803,0.13022368,0.008764354,0.5540975,1.1838071,0.66260785,2.1584597,0.09075047,17.695461,0.6861139,3.024164,2.6165683,3.0962033,2.0120833,1.5208545,0.09720921,0.024262456,0.9794022,2.2944405,2.7036574,0.12413191,1.2107872,0.07016997,0.61930424,0.32668236,0.0043698405,0.15039322,0.039663475,0.038870633,0.8449258,0.0019439782,0.8145474,0.0049229153,7.05362,2.0602515,1.9978139,0.4010338,0.1129225,0.34575626,1.2320765,0.027914526,2.2189465,0.3605553,2.97235,1.8903552,0.12667592,0.113946795,0.010117132,1.0310545,0.26497212,3.8244288
102008,0.012287869,0.43230614,0.021900816,0.49040395,0.18919952,0.41301006,0.0899191,1.0157096,1.3231462,0.69167846,0.011895681,0.4119248,0.008683201,1.1922225,0.0046685194,0.10090686,0.013205632,0.048313074,0.011862665,0.08747002,0.0043908097,0.0066930805,0.0066812364,0.19629444,0.10743731,0.10701754,0.014749036,3.1461948e-07,0.016635314,0.019632854,0.003225618,0.12938085,2.216405,0.16969769,0.65063035,1.1398158,0.056617796,0.90578955,0.32043013,0.16769908,0.72995085,0.07286633,0.48857385,0.028474677,0.15261728,0.0010242254,0.31858262,0.08158265,0.5771333,3.3734894e-05,0.10430491,0.058290984,0.053305253,0.058468398,0.26186335,0.26491272,0.01874388,0.010008536,0.26385188,0.13595536,0.016765164,0.10042388,0.0065191337,0.118935175,0.36026257,0.20639768,0.0017540702,0.0008992367,0.0024792335,0.0053401096,0.17213039,0.34002537,0.0017410511,0.092306815,0.2890283,0.0719707,0.020673946,0.11069166,0.098125644,0.19572239,0.030027617,0.033307493,0.29944736,0.67950666,0.38086206,0.3485988,0.053652193,0.08864846,0.25150388,0.0138123175,0.0012944822,0.0018927043,0.09396521,0.59981674,0.18213971,0.039426625,0.4666423,0.53035915,0.4809026,0.11905805,0.20647614,0.22800894,0.02488312,0.24727705,0.3411279,0.0041477326,0.24736014,0.26495922,0.04055667,0.06948507,0.007376139,0.0826993,0.28787404,0.04186974,0.16217044,0.00488383
